JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Legal secretary,Education,Decreasing,Low,39123.32,Master's Degree,20.0,6985.0,7832.0,77.5,28.99,USA,46.91,12.13
Emergency planning/management officer,Education,Increasing,High,72488.15,High School,12.0,7729.0,4452.0,38.77,99.56,Australia,60.56,-42.4
Music therapist,Education,Increasing,High,122569.29,High School,4.0,2661.0,5588.0,88.17,26.8,India,34.19,110.0
Commercial horticulturist,Education,Decreasing,Low,60874.45,Associate Degree,14.0,5892.0,369.0,43.78,95.96,UK,56.8,-93.74
Special effects artist,Education,Decreasing,Moderate,102393.43,PhD,0.0,348.0,5612.0,86.55,18.51,India,48.47,1512.64
Charity fundraiser,Education,Increasing,High,41523.13,Bachelor's Degree,2.0,7568.0,9624.0,23.23,63.1,India,38.94,27.17
Housing manager/officer,Education,Decreasing,Moderate,92165.61,PhD,17.0,2582.0,5018.0,18.15,66.91,USA,34.93,94.35
"Engineer, structural",Education,Increasing,High,77792.33,Bachelor's Degree,7.0,7836.0,6700.0,71.9,36.73,Australia,63.61,-14.5
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,76301.45,Bachelor's Degree,5.0,9510.0,9086.0,86.47,57.29,China,43.21,-4.46
Technical brewer,Education,Decreasing,Moderate,114843.48,PhD,12.0,9965.0,2903.0,91.98,43.49,Brazil,46.01,-70.87
Site engineer,Education,Decreasing,High,87311.09,Master's Degree,17.0,4517.0,3138.0,15.96,86.18,Australia,51.11,-30.53
Architectural technologist,Education,Increasing,High,112692.04,High School,16.0,2870.0,9159.0,51.62,50.77,China,20.36,219.13
"Investment banker, operational",Education,Increasing,High,48522.58,PhD,2.0,3494.0,1524.0,89.76,88.44,UK,40.62,-56.38
"Librarian, public",Education,Increasing,High,145028.73,High School,4.0,7767.0,669.0,48.68,94.53,Germany,60.52,-91.39
