JOB_ROLE,INDUSTRY,COUNTRY,YEAR,AUTOMATION_RISK_PERCENT,AI_REPLACEMENT_SCORE,SKILL_GAP_INDEX,SALARY_BEFORE_USD,SALARY_AFTER_USD,SALARY_CHANGE_PERCENT,SKILL_DEMAND_GROWTH_PERCENT,REMOTE_FEASIBILITY_SCORE,AI_ADOPTION_LEVEL,EDUCATION_REQUIREMENT_LEVEL
HR Manager,Education,Germany,2025.0,33.16,27.37,31.1,69022.0,74630.21,8.13,18.56,89.85,47.22,1.0
Accountant,Education,Australia,2021.0,38.73,42.69,22.88,39237.59,36065.26,-8.08,-0.02,93.67,80.81,3.0
Customer Support Rep,Education,USA,2021.0,54.22,48.19,11.99,70513.82,69376.53,-1.61,9.04,56.69,70.3,1.0
Marketing Specialist,Education,Germany,2025.0,52.67,52.73,5.15,63437.58,62217.28,-1.92,8.02,23.04,48.95,4.0
Data Analyst,Education,Canada,2021.0,29.97,35.57,96.36,132361.13,121152.88,-8.47,-10.15,86.6,31.69,1.0
Teacher,Education,Canada,2021.0,42.46,39.97,58.37,39328.16,40672.22,3.42,23.76,37.86,81.38,3.0
Truck Driver,Education,India,2020.0,28.17,22.83,37.65,127266.4,105463.95,-17.13,18.54,97.29,84.21,4.0
Customer Support Rep,Education,Canada,2021.0,68.27,64.4,11.36,110588.78,127742.78,15.51,6.16,56.81,85.22,4.0
Customer Support Rep,Education,Germany,2025.0,59.48,55.41,63.34,58817.47,60973.71,3.67,-4.4,26.37,34.57,3.0
HR Manager,Education,USA,2022.0,51.55,55.24,78.92,89813.06,90507.93,0.77,-3.61,62.82,74.54,2.0
Truck Driver,Education,Canada,2026.0,33.04,34.5,28.86,99748.59,99089.45,-0.66,-7.11,57.93,5.18,2.0
Teacher,Education,USA,2020.0,18.7,20.43,93.83,51747.97,52196.05,0.87,3.44,61.7,84.18,3.0
Teacher,Education,Australia,2023.0,35.12,40.42,39.24,127991.93,101905.58,-20.38,-5.08,51.64,30.14,5.0
Mechanical Engineer,Education,India,2025.0,63.37,72.92,34.21,128550.88,125081.61,-2.7,-4.79,81.76,14.99,3.0
Marketing Specialist,Education,Japan,2023.0,41.56,35.13,98.48,130667.77,131395.92,0.56,15.94,63.21,39.9,4.0
HR Manager,Education,India,2026.0,34.24,32.15,73.75,84266.15,82078.68,-2.6,-10.03,22.68,17.64,2.0
Financial Analyst,Education,Japan,2024.0,68.12,65.31,66.81,54598.12,57836.34,5.93,1.9,11.17,8.55,5.0
Teacher,Education,Brazil,2023.0,22.28,25.97,41.88,75976.62,71229.46,-6.25,5.26,24.97,73.8,4.0
